,created_time,message,id
0,2023-01-04T15:06:57+0000,"Charity event in Roscommon - Saturday 7th January - 10am - Fullbody Workhouse! 

Partnered Workout - 45 min Cap 

(P1. Works through movements,
 p2. Holds plate) swap over but both partners will be doing something at all times! 

Shared 
180 SA OH Lunges 
150 SA Thrusters
120 Burpees 
90 KB Swings 
60 DB Snatch 
30 Sa Devil press",545505737609234_537318481761293
1,2022-11-29T18:55:49+0000,"Nutrition and Training Workshop 💪

My ethos is to help women become the strongest, healthiest most confident versions of themselves WITHOUT restricting the foods you love and enjoy ❤️

What better time to sign up to a seminar than early January. Take this as you’re sign that 2024 is going to be the year where achieve the biggest and brightest goals ⭐️

Location: Fullbody Workhouse Roscommon

Date: Saturday 7th January 

Cost: €99 (including lunch)

What to expect:
- An educated filled day 
- A more thorough understanding of recovery
- Learn compound movements 
- Enjoy a sweaty metcon 
- All with a like minded community 

Please let me know if you’d like to attend and I’ll send you over the payment link!",545505737609234_509802061179602
2,2022-10-04T22:39:50+0000,"‘Why your metabolism is not broken’

Really looking forward to hosting this free Webinar in 2 weeks time.

If you’re interested, please fill out this google form and I’ll contact you with the zoom link 🔥🙌

https://docs.google.com/forms/d/e/1FAIpQLScufjr9U_ypm98eGcDwILQfnB2zvJC9im7FenGUfTYu6dfPng/viewform?usp=sf_link",545505737609234_467470882079387
3,2022-09-18T20:34:20+0000,Anyone else on TikTok? 🎯,545505737609234_455027709990371
4,2022-09-18T06:19:36+0000,Completed it mate ✅,545505737609234_454597556700053
5,2022-09-15T19:20:59+0000,Anyone doing Blackmores - marathon/half or 10km?,545505737609234_452894803536995
6,2022-08-23T08:49:02+0000,"We had the most stunning time in Fiji 🇫🇯

Has anyone been?",545505737609234_436768241816318
7,2022-08-16T02:04:54+0000,"If you can’t beat ‘em, join em 🍸",545505737609234_431993685627107
8,2022-08-14T23:22:47+0000,Bingo Loco 🫶,545505737609234_431270869032722
9,2022-08-10T21:13:31+0000,First night out out in awhile 🫶,545505737609234_428638645962611
10,2022-08-01T05:12:00+0000,Christmas in July 🎄❤️,545505737609234_422429943250148
11,2022-06-02T20:18:43+0000,❤️❤️❤️,545505737609234_382682757224867
12,2022-05-29T08:12:02+0000,"I’d love to see what you’d caption this 😅

⬇️⬇️⬇️",545505737609234_379552780871198
13,2022-02-07T19:29:39+0000,Last of the comp Spam I promise 🤣,545505737609234_307769374716206
14,2022-02-02T19:07:05+0000,Preparing for our first external comp 🥳,545505737609234_304784511681359
15,2022-01-29T10:16:48+0000,Me and Lillie Allen representing the ladies in the Rx Division today 💪,545505737609234_302093805283763
16,2022-01-29T10:16:04+0000,First In House Comp of the year 🙌,545505737609234_302093515283792
17,2022-01-27T20:33:16+0000,,545505737609234_301203155372828
18,2022-01-03T06:40:22+0000,"Expires Tonight. Invitation for women who are sick of fad dieting and want to see long term results ONLY!!!

If you're a female who wants to be bikini confident year round in 12 weeks, then now is your last chance to apply. 

I'd hate for you to miss out on results like these:

- Aoibheann lost 5kg in 12 weeks
- Sarah is now benching her old 1RM for 10 reps
- Trish lost inches and kilos while looking after her 2 kids

So - the decision is up to you, and it's super easy to apply.

But there are only a few hours left to apply.

Comment 'ME' and I'll reach out to you in the DMs to see if you're a good fit.",545505737609234_286353056857838
19,2021-12-19T19:15:22+0000,Run up to Christmas in Sydney 🙏,545505737609234_277533934406417
20,2021-11-16T07:47:31+0000,"Right who here Squats???

I'm going to be honest. I hate squats. I'm crap at them and I really really don't enjoy them.

But guess what? I do them.
Actually multiple times a week 3 times AT LEAST. And I have been doing them for about 8 years. Because you know what? 

Squats are good ✅

#fallinlovewithbeingbored",545505737609234_257020856457725
21,2021-11-09T06:31:04+0000,"Hey All,

- Are you clueless about resistance training?

- Are you sick of dieting?

- Have you tried everything and still haven't seen results? 🤔

I'm hosting a FREE webinar in 2 weeks. I'm so excited to talk about all the things I feel very passionate about 😁 These are all the methods I use with my clients and if you've answered yes to any of the above I think this could be well worth a listen.

If you're interested in signing up.
Please DM me 'Webinar' or sign up through link below

https://docs.google.com/forms/d/1YoYOu5MiiamChEv0kqckz8CjrLAvUl2S_JQaf5AqvkA/viewform?edit_requested=true",545505737609234_252527030240441
22,2021-11-03T19:17:52+0000,Any goals you'd like to achieve by the end of 2021? 🤔,545505737609234_249141407245670
23,2021-11-02T23:38:46+0000,Anyone out there still use a written diary or am I a lone ranger? 🤣,545505737609234_248645757295235
0,2021-11-01T18:41:07+0000,What have you done recently that made you realise your age? 🤔🤣,545505737609234_247962924030185
1,2021-10-06T23:21:49+0000,,545505737609234_230971169062694
2,2021-09-29T05:20:58+0000,"Last Chance people, if you're interested in my Webinar 🙌

If you are not signed up to this, then you  need to get on it ASAP 👊 There is LITERALLY nothing to lose. Its totally free 😁

Sign up below

https://docs.google.com/forms/d/1YoYOu5MiiamChEv0kqckz8CjrLAvUl2S_JQaf5AqvkA/viewform?edit_requested=true",545505737609234_226206536205824
3,2021-09-20T20:20:52+0000,"If anyone is interested in getting some help and guidance on WHY you're not achieving your goals and WHY the habits based approach works 👊

I am hosting a free Webinar next week.

Here is the link to sign up!

https://docs.google.com/forms/d/1YoYOu5MiiamChEv0kqckz8CjrLAvUl2S_JQaf5AqvkA/viewform?edit_requested=true",545505737609234_220738340085977
