,id
0,17902790093652450
1,17976757489963975
2,17976666928950022
3,17918224373661214
4,17994459673604175
5,17965539449181159
6,17916670514595371
7,18309937315079091
8,17988736258746679
9,17953279598230101
10,17995120363584897
11,18089798641313631
12,18040287658407392
13,18338463874044052
14,17864928656796764
15,17942300240367983
16,18259457002187145
17,18070043437341518
18,18170552077265403
19,18340580761019583
20,17948085944401157
21,17971504069888515
22,17950310156457543
23,17946858950429225
24,17961902051228856
0,17949189173416103
1,17989985506724031
2,17888888420758290
3,18261392209141501
4,17965250146981755
5,18077257591325987
6,17959078001221207
7,17939652092379598
8,18021723325428328
9,17959044758193298
10,18197522368211215
11,17978937280883442
12,17937622163398502
13,18014002012450098
14,17980814617832385
15,17946039290434121
16,17967000305009192
17,18328556632003498
18,18017307292437241
19,17976951499871388
20,17972337106905374
21,17846185016881186
22,17878226135730844
23,17965603229022919
24,18191716690227443
