,impressions_value,impressions_end_time,reach_value,reach_end_time
0,0,2023-01-25T08:00:00+0000,0,2023-01-25T08:00:00+0000
1,2,2023-01-26T08:00:00+0000,2,2023-01-26T08:00:00+0000
2,38,2023-01-27T08:00:00+0000,1,2023-01-27T08:00:00+0000
3,29,2023-01-28T08:00:00+0000,1,2023-01-28T08:00:00+0000
4,5,2023-01-29T08:00:00+0000,4,2023-01-29T08:00:00+0000
5,196,2023-01-30T08:00:00+0000,141,2023-01-30T08:00:00+0000
6,45,2023-01-31T08:00:00+0000,43,2023-01-31T08:00:00+0000
7,14,2023-02-01T08:00:00+0000,9,2023-02-01T08:00:00+0000
8,5,2023-02-02T08:00:00+0000,4,2023-02-02T08:00:00+0000
9,169,2023-02-03T08:00:00+0000,109,2023-02-03T08:00:00+0000
10,68,2023-02-04T08:00:00+0000,51,2023-02-04T08:00:00+0000
11,57,2023-02-05T08:00:00+0000,29,2023-02-05T08:00:00+0000
12,78,2023-02-06T08:00:00+0000,67,2023-02-06T08:00:00+0000
13,266,2023-02-07T08:00:00+0000,208,2023-02-07T08:00:00+0000
14,77,2023-02-08T08:00:00+0000,52,2023-02-08T08:00:00+0000
15,21,2023-02-09T08:00:00+0000,21,2023-02-09T08:00:00+0000
16,3,2023-02-10T08:00:00+0000,3,2023-02-10T08:00:00+0000
17,1,2023-02-11T08:00:00+0000,1,2023-02-11T08:00:00+0000
18,184,2023-02-12T08:00:00+0000,98,2023-02-12T08:00:00+0000
19,48,2023-02-13T08:00:00+0000,39,2023-02-13T08:00:00+0000
20,200,2023-02-14T08:00:00+0000,131,2023-02-14T08:00:00+0000
21,40,2023-02-15T08:00:00+0000,21,2023-02-15T08:00:00+0000
22,10,2023-02-16T08:00:00+0000,10,2023-02-16T08:00:00+0000
23,2,2023-02-17T08:00:00+0000,2,2023-02-17T08:00:00+0000
24,2,2023-02-18T08:00:00+0000,2,2023-02-18T08:00:00+0000
25,13,2023-02-19T08:00:00+0000,1,2023-02-19T08:00:00+0000
26,4,2023-02-20T08:00:00+0000,2,2023-02-20T08:00:00+0000
27,111,2023-02-21T08:00:00+0000,96,2023-02-21T08:00:00+0000
28,19,2023-02-22T08:00:00+0000,16,2023-02-22T08:00:00+0000
29,31,2023-02-23T08:00:00+0000,7,2023-02-23T08:00:00+0000
30,3,2023-02-24T08:00:00+0000,3,2023-02-24T08:00:00+0000
31,96,2022-12-26T08:00:00+0000,80,2022-12-26T08:00:00+0000
32,308,2022-12-27T08:00:00+0000,167,2022-12-27T08:00:00+0000
33,69,2022-12-28T08:00:00+0000,51,2022-12-28T08:00:00+0000
34,193,2022-12-29T08:00:00+0000,119,2022-12-29T08:00:00+0000
35,85,2022-12-30T08:00:00+0000,44,2022-12-30T08:00:00+0000
36,18,2022-12-31T08:00:00+0000,17,2022-12-31T08:00:00+0000
37,18,2023-01-01T08:00:00+0000,4,2023-01-01T08:00:00+0000
38,3,2023-01-02T08:00:00+0000,3,2023-01-02T08:00:00+0000
39,169,2023-01-03T08:00:00+0000,132,2023-01-03T08:00:00+0000
40,141,2023-01-04T08:00:00+0000,103,2023-01-04T08:00:00+0000
41,35,2023-01-05T08:00:00+0000,29,2023-01-05T08:00:00+0000
42,110,2023-01-06T08:00:00+0000,92,2023-01-06T08:00:00+0000
43,165,2023-01-07T08:00:00+0000,105,2023-01-07T08:00:00+0000
44,48,2023-01-08T08:00:00+0000,40,2023-01-08T08:00:00+0000
45,157,2023-01-09T08:00:00+0000,136,2023-01-09T08:00:00+0000
46,98,2023-01-10T08:00:00+0000,84,2023-01-10T08:00:00+0000
47,28,2023-01-11T08:00:00+0000,25,2023-01-11T08:00:00+0000
48,7,2023-01-12T08:00:00+0000,5,2023-01-12T08:00:00+0000
49,412,2023-01-13T08:00:00+0000,180,2023-01-13T08:00:00+0000
50,45,2023-01-14T08:00:00+0000,39,2023-01-14T08:00:00+0000
51,12,2023-01-15T08:00:00+0000,11,2023-01-15T08:00:00+0000
52,8,2023-01-16T08:00:00+0000,8,2023-01-16T08:00:00+0000
53,4,2023-01-17T08:00:00+0000,3,2023-01-17T08:00:00+0000
54,172,2023-01-18T08:00:00+0000,127,2023-01-18T08:00:00+0000
55,18,2023-01-19T08:00:00+0000,15,2023-01-19T08:00:00+0000
56,64,2023-01-20T08:00:00+0000,52,2023-01-20T08:00:00+0000
57,23,2023-01-21T08:00:00+0000,15,2023-01-21T08:00:00+0000
58,5,2023-01-22T08:00:00+0000,5,2023-01-22T08:00:00+0000
59,3,2023-01-23T08:00:00+0000,3,2023-01-23T08:00:00+0000
60,3,2023-01-24T08:00:00+0000,3,2023-01-24T08:00:00+0000
61,17,2022-11-26T08:00:00+0000,9,2022-11-26T08:00:00+0000
62,3,2022-11-27T08:00:00+0000,3,2022-11-27T08:00:00+0000
63,3,2022-11-28T08:00:00+0000,3,2022-11-28T08:00:00+0000
64,4,2022-11-29T08:00:00+0000,4,2022-11-29T08:00:00+0000
65,10,2022-11-30T08:00:00+0000,5,2022-11-30T08:00:00+0000
66,2,2022-12-01T08:00:00+0000,1,2022-12-01T08:00:00+0000
67,1,2022-12-02T08:00:00+0000,1,2022-12-02T08:00:00+0000
68,0,2022-12-03T08:00:00+0000,0,2022-12-03T08:00:00+0000
69,6,2022-12-04T08:00:00+0000,2,2022-12-04T08:00:00+0000
70,3,2022-12-05T08:00:00+0000,3,2022-12-05T08:00:00+0000
71,0,2022-12-06T08:00:00+0000,0,2022-12-06T08:00:00+0000
72,1,2022-12-07T08:00:00+0000,1,2022-12-07T08:00:00+0000
73,4,2022-12-08T08:00:00+0000,2,2022-12-08T08:00:00+0000
74,8,2022-12-09T08:00:00+0000,2,2022-12-09T08:00:00+0000
75,0,2022-12-10T08:00:00+0000,0,2022-12-10T08:00:00+0000
76,2,2022-12-11T08:00:00+0000,2,2022-12-11T08:00:00+0000
77,6,2022-12-12T08:00:00+0000,2,2022-12-12T08:00:00+0000
78,297,2022-12-13T08:00:00+0000,211,2022-12-13T08:00:00+0000
79,95,2022-12-14T08:00:00+0000,63,2022-12-14T08:00:00+0000
80,10,2022-12-15T08:00:00+0000,10,2022-12-15T08:00:00+0000
81,3,2022-12-16T08:00:00+0000,3,2022-12-16T08:00:00+0000
82,239,2022-12-17T08:00:00+0000,209,2022-12-17T08:00:00+0000
83,219,2022-12-18T08:00:00+0000,177,2022-12-18T08:00:00+0000
84,381,2022-12-19T08:00:00+0000,214,2022-12-19T08:00:00+0000
85,141,2022-12-20T08:00:00+0000,96,2022-12-20T08:00:00+0000
86,177,2022-12-21T08:00:00+0000,150,2022-12-21T08:00:00+0000
87,234,2022-12-22T08:00:00+0000,144,2022-12-22T08:00:00+0000
88,69,2022-12-23T08:00:00+0000,50,2022-12-23T08:00:00+0000
89,45,2022-12-24T08:00:00+0000,21,2022-12-24T08:00:00+0000
90,11,2022-12-25T08:00:00+0000,5,2022-12-25T08:00:00+0000
