,created_time,message,id
0,2023-01-15T20:21:48+0000,Too good to share. Too bad there's none on exercise science though.,10104327314119821_10104331500165951
1,2023-01-13T19:50:47+0000,"It’s been 1 month since I finished my data science program. When I finished university years ago, what helped me start my career was speaking to professionals in the industry and continuing to learn. I’m back to that process, this time in a new field. If you can give me some insight to help guide my career exploration, please let me know!

While I would love a data scientist or machine learning role, I’m aware that these positions are usually given to those with more direct experience. I'm also interested in business analyst and product manager roles in health, fitness, and technology—especially if I can apply my expertise in health, exercise science, and behaviour change.",10104327314119821_10104329950905681
2,2023-01-11T03:17:40+0000,"There was a time when my only exercise was running. I figured that because it was the fastest way to feel breathless, it was the most efficient form of exercise.

Look at this infographic, including the legend. “RT” stands for resistance training (”weight training”, or exercises targetting muscles) and “AT” stands for aerobic training (”cardio”).

Notice that of the 8 categories of exercise benefits, 7 can be obtained from resistance exercise. Only cardiorespiratory function is unique to aerobic training.

Resistance training is essential for strength and preventing age-related muscle and bone loss, yet many exercisers don’t do it. Hopefully infographics such as this one help people learn that resistance training is the most impactful use of their exercise time.

What barriers prevent you from doing resistance training, if any?",10104327314119821_10104327972240941
3,2023-01-09T21:30:18+0000,"For the US, ""Wearable technology (#1), strength training with free weights (#2), and outdoor activities (#5) remain within the top five fitness trends, whereas home exercise gyms reveal a downward trend (#13, compared with #2 last year).""

There's no surprise that interest in wearable tech is rising. My questions is how much the increasing interest in fitness trackers is from people who are already exercising regularly, people who end up increasing their physical activity/health practices as a result of the device, or people with aspirations of improving fitness but remain sedentary.

As a fitness professional, I'm happy to see that interest in strength training is increasing!",10104327314119821_10104326999794731
4,2023-01-09T17:06:33+0000,"Excited to see developments in wearable tech!

Is there one you love or are excited about? If so, why?",10104327314119821_10104326849426071
5,2023-01-07T21:36:58+0000,"Pomelos are one of my favourite fruits. It is also known as a Chinese grapefruit. I prefer them over regular grapefruits because they are not bitter and less watery. They are in season now, so try it out while they are available!

What’s great about pomelos in general is how filling and nutritious they are while having a low calorie density. I like them as an alternative carbohydrate source to grains in a meal. 

People who aren’t familiar with pomelos are not sure how to prepare them, so these photos should help.",10104327314119821_10104325303319481
6,2023-01-06T19:39:51+0000,"What's your favourite app or wearable that helps you live a healthier lifestyle?

I'm actually a fan of Apple Health. I use it to track my sleep and steps. Women can also track menstrual cycle and related symptoms, which is helpful. Apple Health also integrates with many other apps/wearables so you can see your data on a single platform.

More recently, the sharing feature allows me to monitor my parents' data, including data related to risk of falls.

The data scientist in me wishes their interface had more data visualization and analysis features, but it's still pretty good for built-in free app.

#datascience #datavisualization #health",10104327314119821_10104324466536401
7,2023-01-05T01:47:06+0000,What is one habit you're looking to add right now?,10104327314119821_10104323209450611
8,2023-01-03T20:34:34+0000,"Gamify your goals

Duolingo was one of the pioneers in the gamification space. I started using it last year to improve my Chinese and French. For me, the app's most powerful feature is its streak count because:

1. I don't want to miss a day of lessons because I'll lose my streak.

2. At the same time, I have 1 or 2  banked ""streak freezes"" so I can keep my streak even if I miss a day (you need to earn or purchase the streak freezes).

This approach is great because it is process-oriented (e.g. do this habit) rather than outcome-oriented (e.g. lose weight), which has been shown scientifically to be better for long term adherence.

You don't any app to ""gamify"" a habit you want to add. Crossing off days on a calendar will work equally if not better (the more this reminder is in plain sight, the better). If you like crossing items off a to-do list, add the habit there (I love Asana and Notion for managing tasks).

What gamification strategies do you have?

I just lost my 170+ day Duolingo streak because I missed my lesson on New Year's Eve of all days. I guess the new year really IS a fresh start for me.",10104327314119821_10104322209294931
9,2022-12-31T19:03:58+0000,"Exciting developments for athletes as Apple watch moves closer to being able to measure heart rate variability (HRV). Would this tempt you to become/remain an Apple watch user?

A few years ago at the peak of my obsession with optimizing strength training, I used a Polar chest strap for 2 minutes each daily before getting out of bed to track my HRV. It was a bit of hassle as I had to keep a dish of water next to the bed to wet the sensor electrodes to avoid confounding the results by getting up. No surprise, I abandoned that daily measurement (my Oura ring measures HRV effortlessly while I sleep, though strength training is not as central to my life as it was before).

",10104327314119821_10104319695048501
10,2022-12-30T02:06:59+0000,,10104327314119821_10104318387234371
