,timestamp,caption,like_count,comments_count,media_type,media_product_type,media_url,permalink,id,comments.data,thumbnail_url,date,year,month,week_of_year,day_of_week,time,hour
0,2022-12-30 02:05:19+00:00,💛 ,30,0,CAROUSEL_ALBUM,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/322778200_3359512214268300_8037939719050379800_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=cbEsAAQ-SzIAX89h4oH&_nc_oc=AQn23a4zWIwyYE_7GA5dyUqeuwd76F3nJ76OgQsh1xE08pCOWDldT_4lIHvvUoX630xqwy836HWG8wgWoSk1Nx_J&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCmFoy12uq05tI0E21YxYhPXrT7tEZKV5gVJLq1agdw3Q&oe=63E93EB0,https://www.instagram.com/p/CmxlFotJyli/,18336168253034275,,,2022-12-30,2022,12,52,4,02:05:19,2
1,2022-12-27 20:48:37+00:00,with power come responsibility  in the fitness space  people get excited about how ai can analyze movement  but what i am most excited about is how to use ai to help people adopt healthier lifestyle  we generally know it important to exercise  but doing it is challenging  if netflix and youtube can recommend content youll find interesting  how can a health app recommend a health practice that youll adopt to improve your health long term  the recommendation will likely need to account for and adapt to your preference  personality    and life stage  it also must be the right level of difficulty  if it too challenging  youll get discouraged and give up  if it too easy  you might not get much benefit or lose motivation  what application of ai are you most excited about  <Handle> ,5,2,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/321958621_579630850642218_1418582233562155559_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=PG6vZHHhIWsAX8DRlXw&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA9F7ALIKoS1B5Ri6h3gyZPhT_wibS90hOCTUMXiD6Brw&oe=63E8967C,https://www.instagram.com/p/Cmr3QXSSDdE/,18033248329425680,"[{'timestamp': '2022-12-27T21:04:59+0000', 'text': '🙌', 'username': 'aiforgood_foundation', 'like_count': 0, 'id': '17959095329223682'}, {'timestamp': '2022-12-27T20:52:10+0000', 'text': 'PROMOTE IT ON @CANADIAN.COMMUNITY', 'username': 'videocou12', 'like_count': 0, 'id': '17881600202728388'}]",,2022-12-27,2022,12,52,1,20:48:37,20
2,2022-12-27 03:31:51+00:00,while my podcast feed is mostly filled with podcasts on data science  health  and fitness  the hidden brain podcast is one that people from all industry will find interesting  this most recent episode feature scientist and science communicator katy milkman  and it ’ s just in time for the new year  since it discus strategy on how to follow through on our goal  ,5,1,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/321834739_563499202294809_1673127779555148359_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=X5G9WAR6EN0AX9wxRI5&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAwbXyCR7km6C1rYLU5Gk4pjtiR6_ZoGzRIibpFFAkyIA&oe=63E8E8E2,https://www.instagram.com/p/CmqAm0tL1u1/,17980063225869664,"[{'timestamp': '2022-12-28T16:45:59+0000', 'text': 'I’ll have to check this out! Thank you', 'username': 'monikafronc_pilatesportal.ca', 'like_count': 0, 'id': '17923241108530404'}]",,2022-12-27,2022,12,52,1,03:31:51,3
3,2022-12-22 19:35:45+00:00,here the link to the super data science podcast that discus essential fo data visualization for storytelling   ,4,0,CAROUSEL_ALBUM,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/320716792_636088561600429_2604632901986035763_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=S62rQRQ4T2EAX8OMzjz&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDLFrplmQ9vFukKbTsyMIgagdPRpFPaqWFpjtIbyTAWyQ&oe=63EA6388,https://www.instagram.com/p/Cme28PFuJ57/,17926236674624239,,,2022-12-22,2022,12,51,3,19:35:45,19
4,2022-12-21 22:44:24+00:00,this neighboring house ha these long sharp icicle hanging from all along it roof edge  while none of the other house i saw had them  it got me thinking about the importance of good design  i would not want to be walking under one of these vanishing dagger if they dropped  have you seen any similar icicle  drop a photo in the comment  ,11,5,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/320784492_554115546262234_5811064999706762572_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=-kHNLfTBDtYAX-GMDjH&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDpknqMXHqOfgmlhkZtnk_9taxTISLFKo6lDlNymdWD5w&oe=63E9A5C7,https://www.instagram.com/p/CmcnvFpOYeN/,17939812733373203,"[{'timestamp': '2022-12-24T20:57:54+0000', 'text': ""I took a house building course a few years ago and learned that many builders (by design or error) don't extend the ice shield far enough in.  It leads to icicles and, worse, ice dams that can damage roofs and cause water intrusion.  They're so pretty, though!"", 'username': 'familysleep.ca', 'like_count': 0, 'replies': {'data': [{'timestamp': '2022-12-24T22:47:33+0000', 'text': '@familysleep.ca , That’s too bad that this is still an issue. I saw a building downtown that had that issue as well.', 'username': 'silvialiftsweights', 'like_count': 0, 'id': '17926692215629025'}]}, 'id': '18159235279278873'}, {'timestamp': '2022-12-21T22:50:35+0000', 'text': 'They need better insulation!', 'username': 'pomopaleo', 'like_count': 1, 'replies': {'data': [{'timestamp': '2022-12-21T23:17:20+0000', 'text': '@pomopaleo , I figured there was a reason that I just didn’t understand ha ha', 'username': 'silvialiftsweights', 'like_count': 1, 'id': '17970447049881743'}]}, 'id': '17930607224498564'}, {'timestamp': '2022-12-21T22:50:22+0000', 'text': 'Promote it on @toronto_successlyf 🇨🇦', 'username': 'montp126', 'like_count': 0, 'id': '17952507461190892'}]",,2022-12-21,2022,12,51,2,22:44:24,22
5,2022-12-20 00:21:15+00:00,there are already apps that do what personal trainer do  creating goal specific exercise program  providing exercise demo  and even checking form  will it put trainer out of work  no  here ’ s why  <Number>  the main challenge in fitness relate to getting people to adopt resistance training and continue long term  not simply knowing what to do  a good trainer doesn ’ t just check form  they help people do the thing that are aligned with their motivation and ability  <Number>  even when computer vision becomes advanced enough to distinguish between subtle difference in exercise technique  difference in muscle activation pattern  which can make the difference between pain  no pain  can not always be be seen  even by an expert coach  a good movement coach know the right question and cue to use for the individual in front of them  what will happen is that these ai based fitness product will   allow more people to exercise smarter   weed out low quality exercise professional and force remaining one to up their standard   make it easier for exerciser and fitness professional to make data informed decision through easier data tracking and visualization  what do you think  ,17,0,VIDEO,FEED,https://video.cdninstagram.com/v/t50.16885-16/321108865_1353501322055256_5981907495892703203_n.mp4?_nc_cat=108&vs=699350655056538_1292635174&_nc_vs=HBksFQAYJEdJRzdJeE5ZRG9HVkFNOEVBT05YN29zc0FRUlRidlZCQUFBRhUAAsgBABUAGCRHTTR2SkJQWERvOTl1WkFBQUxONmJ2b1lveklzYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbqzsaq3vXrPxUCKAJDMywXQFRx64UeuFIYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuaWd0diJ9&_nc_ohc=7uHlLJWDMTQAX_MwQax&_nc_ht=video.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDCJ-kddd3FaPjcnqqrCDFaWBUlBGcANrXMCF4ElQKRng&oe=63E50BAE&_nc_rid=8dbc8e51d9,https://www.instagram.com/tv/CmXpML9ARCb/,17956519238480356,,https://scontent.cdninstagram.com/v/t51.29350-15/321072428_5156993421067071_8697996024193895709_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=A8dl_WPcDA4AX9pSnrx&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCCf_dH8WdsQq38p6Zsmgn24YGBFXjcvFxswludcwKsuQ&oe=63E8B41F,2022-12-20,2022,12,51,1,00:21:15,0
6,2022-12-19 02:31:55+00:00,in <Number> i got the audiobook weapon of math destruction by cathy o ’ neil after joining a book club for woman in stem  it discus the danger of artificial intelligence algorithm in perpetuating social inequality  i had no idea at the time that i would embark on a career where i would be developing ai algorithm  i ’ ll be relistening to this book  this time with the perspective of a data scientist  have idea on how to change ai to reduce social inqualities  comment below  ,8,4,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/320415394_685852956598533_1725904786646388979_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0fxFwKve9ooAX9aMlGW&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD5P2ZXKnSROYikuUpks_roHORGFQpbkPm33tJzfm4cBw&oe=63E94174,https://www.instagram.com/p/CmVTY53MA-u/,18065247544353846,"[{'timestamp': '2022-12-19T05:31:59+0000', 'text': ""Thanks for sharing! I'm going to listen to it. ❤️"", 'username': 'nicogruzling', 'like_count': 1, 'id': '17999843788522715'}, {'timestamp': '2022-12-19T02:41:55+0000', 'text': ""Let's revitalize Stemminist Book Club!!!"", 'username': 'khristine.carino', 'like_count': 1, 'id': '18235685167154631'}, {'timestamp': '2022-12-19T02:41:00+0000', 'text': 'I have been wanting to read this book!', 'username': 'carmesan604', 'like_count': 0, 'replies': {'data': [{'timestamp': '2022-12-19T03:36:03+0000', 'text': '@carmesan604 , I listened to it when commuting, walking, or doing stuff around the house.', 'username': 'silvialiftsweights', 'like_count': 0, 'id': '18336079657028927'}]}, 'id': '17935123997568248'}]",,2022-12-19,2022,12,51,0,02:31:55,2
7,2022-12-17 19:54:21+00:00,why walking or cardio are important  but not enough to keep you fit  lifting weight and resistance training are not just just for athlete or people who want to change their appearance  it help to   increase strength  that way  you can do everyday activity more easily with le    counteract muscle imbalance  most sport and cardio activity    running  cycling  hiking  inherently train some muscle and not others  a good resistance training program systematically target the various part of the body to help you maintain good posture and reduce    it counteracts the effect of ageing  fall  broken hip  frailty  and stooped posture should not be accepted a inevitable  have question or want to discus  comment below a this is a topic i ’ m passionate about  ,19,1,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/320445053_5977443735640757_7997636783581808369_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0HZmqjsgI1kAX_nsaHE&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDSyRhVJkV1EZgcrJweCAA3j80ddJ6bc6foZzoOiLy3DQ&oe=63E9A482,https://www.instagram.com/p/CmSBGJ7Osyg/,18154936198280489,"[{'timestamp': '2022-12-17T20:04:46+0000', 'text': 'Promote it on🇨🇦 @vancouver.community_', 'username': 'pardeep.birt.73', 'like_count': 0, 'id': '17910317504676350'}]",,2022-12-17,2022,12,50,5,19:54:21,19
8,2022-12-13 21:48:46+00:00,i just finished my diploma in data science from <Handle> and am excited for the new opportunity this open in the tech sector  a bit about me  i have master of science in kinesiology and been working a a kinesiologist and personal trainer since <Number>  my ideal next step is to work in an organization that us technology and product to promote  on a large scale  such a health apps  gym  or fitness product manufacturer  my ask  if you have a connection with such an organization and they are open to chat  i ’ d love to learn more about that business  even if there are no job current opening  ,27,4,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/319325862_2421265551356834_6367359979201721773_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=tituc-GEO6gAX8vsRpn&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCDPi40SMad3mR1pFH0o8aKZTSVXDa_zDtJ0ODccyo6lg&oe=63E95AFD,https://www.instagram.com/p/CmH7ApNOFFc/,18156486961277780,"[{'timestamp': '2022-12-14T02:08:23+0000', 'text': '👏🎉 congratulations', 'username': 'monikafronc_pilatesportal.ca', 'like_count': 1, 'id': '17937578591394931'}, {'timestamp': '2022-12-14T01:42:56+0000', 'text': ""@silvialiftsweights if you're on LinkedIn shoot me a connect. Tech is my industry, I'd be happy to look into my network."", 'username': 'sharons.adventure', 'like_count': 0, 'replies': {'data': [{'timestamp': '2022-12-14T04:28:49+0000', 'text': '@sharons.adventure , that’d be great, thanks! Just DM’d you.', 'username': 'silvialiftsweights', 'like_count': 0, 'id': '17957704178326720'}]}, 'id': '17843772542902313'}, {'timestamp': '2022-12-13T22:04:16+0000', 'text': 'Congratulations!', 'username': 'island_12', 'like_count': 1, 'id': '17984777746705230'}]",,2022-12-13,2022,12,50,1,21:48:46,21
9,2022-09-27 21:31:17+00:00,seeking way to counteract my sedentary lifestyle a i will be glued to my computer <Number> hour a day for the next couple month  got this nifty fold up desk for my bike anf set up my old monitor  happy for more tip on reducing butt soreness  😂 <Handle> #datascience #lighthouselabs ,34,6,VIDEO,REELS,https://video.cdninstagram.com/v/t50.33967-16/309160891_819547959079076_4191441832865795551_n.mp4?_nc_cat=108&vs=463201265868349_2709152492&_nc_vs=HBksFQAYJEdMdHJiUktrTVByZ1hfa0NBTl9OcmNnai1pbzZicV9FQUFBRhUAAsgBABUAGCRHR3FDY3hKZmU0ZlRldXdDQU5oQkZmU000djlzYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbsg4ia9LXhPxUCKAJDMywXQDbJN0vGp%2FAYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=UNluM0i1IGsAX-5MEg4&_nc_ht=video.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCom1WX68UQum2LLyCCC3S4qXHFjGk5l9F8_medAC-fog&oe=63E51129&_nc_rid=d5bc09e22f,https://www.instagram.com/reel/CjBnZEDAwAk/,17972792299796698,"[{'timestamp': '2022-09-28T19:07:32+0000', 'text': 'I had an Electra cruiser bike saddle. Most comfortable bike seat everrrr', 'username': 'victoria_cubbon', 'like_count': 1, 'id': '18052054660354760'}, {'timestamp': '2022-09-27T22:44:43+0000', 'text': 'why so many kabocha?!', 'username': '_ssimpson_', 'like_count': 0, 'replies': {'data': [{'timestamp': '2022-09-28T01:23:33+0000', 'text': '@silvialiftsweights lol', 'username': '_ssimpson_', 'like_count': 0, 'id': '18005162584488406'}, {'timestamp': '2022-09-28T00:49:48+0000', 'text': '@_ssimpson_ , its my rice/bread alternative haha', 'username': 'silvialiftsweights', 'like_count': 1, 'id': '17928423323400867'}]}, 'id': '17976002959706890'}, {'timestamp': '2022-09-27T22:20:33+0000', 'text': 'To reduce butt soreness, buy @samsaracycleclub shorts. Game changer. I will never buy anything else again. (And I’m not being paid to say that. LOL)', 'username': 'jenullett', 'like_count': 1, 'replies': {'data': [{'timestamp': '2022-09-28T00:50:25+0000', 'text': '@jenullett , will keep it mind when budget allows. Thanks!', 'username': 'silvialiftsweights', 'like_count': 1, 'id': '17886531830660141'}]}, 'id': '17961862090985722'}]",https://scontent.cdninstagram.com/v/t51.29350-15/308884674_902798574017752_5798043338577639843_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=hGRxJ53w7MQAX9NdjVF&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBBYwklSagMjwQ7MgxeUqmpe0Dks0WWKx_1Tibh1CFZ5A&oe=63E9C284,2022-09-27,2022,9,39,1,21:31:17,21
